Fragment length, Fraction of reads
194,0.0005599557929637134
195,0.0005525879535826119
196,0.000434702523484988
197,0.0004936452385337999
198,0.0004715417203904955
199,0.000537852274820409
200,0.0006410020261558298
201,0.0005157487566771044
202,0.0005452201142015105
203,0.0005967949898692209
204,0.0005894271504881194
205,0.0004715417203904955
206,0.000523116596058206
207,0.0005820593111070179
208,0.0005452201142015105
209,0.000537852274820409
210,0.000523116596058206
211,0.0005673236323448149
212,0.00044943820224719103
213,0.0004936452385337999
214,0.0007441517774912507
215,0.0006115306686314239
216,0.0006999447412046417
217,0.0007073125805857432
218,0.0006115306686314239
219,0.0003683919690550746
220,0.0006410020261558298
221,0.0004936452385337999
222,0.0006410020261558298
223,0.0006778412230613373
224,0.000478909559771597
225,0.0004568060416282925
226,0.0003536562902928716
227,0.0005599557929637134
228,0.00039786332657948056
229,0.0002652422177196537
230,0.0003536562902928716
231,0.00019156382390863878
232,0.00039049548719837906
233,0.00033892061153066865
234,0.0002505065389574507
235,0.0002947135752440597
236,0.00032418493276846564
237,0.000464173881009394
238,0.00039786332657948056
239,0.00033155277214956714
240,0.0005010130779149014
241,0.0003610241296739731
242,0.0003536562902928716
243,0.00024313869957634924
244,0.0006336341867747283
245,0.0003020814146251612
246,0.00023577086019524774
247,0.0002947135752440597
248,0.00022840302081414624
249,0.00022840302081414624
250,0.00019156382390863878
251,0.00022103518143304476
252,0.0002873457358629582
253,0.00021366734205194326
254,0.00027261005710075523
255,0.0001768281451464358
256,0.0002947135752440597
257,0.00020629950267084178
258,0.00022103518143304476
259,0.00020629950267084178
260,0.00022103518143304476
261,0.00022840302081414624
262,0.00022840302081414624
263,0.0003094492540062627
264,0.00016209246638423282
265,0.00013262110885982686
266,0.00044943820224719103
267,0.0001768281451464358
268,0.00011051759071652238
269,0.00022103518143304476
270,7.367839381101492e-05
271,0.00016946030576533432
272,8.84140725732179e-05
273,0.00014735678762202984
274,0.00022103518143304476
275,0.00011788543009762387
276,0.0001768281451464358
277,0.00011788543009762387
278,0.00013262110885982686
279,0.00013998894824092834
280,0.00011788543009762387
281,0.00011051759071652238
282,0.00015472462700313135
283,0.00015472462700313135
284,0.00015472462700313135
285,0.00014735678762202984
286,0.00012525326947872536
287,0.00013262110885982686
288,0.00013998894824092834
289,0.0003683919690550746
290,8.84140725732179e-05
291,0.00013262110885982686
292,0.00015472462700313135
293,0.00012525326947872536
294,0.0001768281451464358
295,0.0002652422177196537
296,0.00016209246638423282
297,5.8942715048811935e-05
298,8.104623319211641e-05
299,0.00012525326947872536
300,0.00016946030576533432
301,0.00013998894824092834
302,0.00011051759071652238
303,0.00011788543009762387
304,8.104623319211641e-05
305,0.00011788543009762387
306,0.00011051759071652238
307,7.367839381101492e-05
308,0.00023577086019524774
309,0.00014735678762202984
310,0.0004420703628660895
311,0.00011051759071652238
312,7.367839381101492e-05
313,0.00021366734205194326
314,0.00019156382390863878
315,0.00033155277214956714
316,0.00033892061153066865
317,0.00015472462700313135
318,0.00019893166328974028
319,0.00019156382390863878
320,0.0002652422177196537
321,0.0003094492540062627
322,0.00039786332657948056
323,0.000884140725732179
324,0.00021366734205194326
325,0.000478909559771597
326,0.0007588874562534537
327,0.0004420703628660895
328,0.0004936452385337999
329,0.0005599557929637134
330,0.000478909559771597
331,0.0008325658500644686
332,0.0007367839381101492
333,0.000957819119543194
334,0.0006188985080125254
335,0.0007441517774912507
336,0.0010167618345920059
337,0.0014146251611714864
338,0.0011199115859274267
339,0.0016209246638423283
340,0.0022398231718548534
341,0.002114569902376128
342,0.003890219193221588
343,0.007117332842144042
344,0.010948609320316816
345,0.0060858353287898325
346,0.013903112912138516
347,0.0143230797568613
348,0.016091361208325657
349,0.03178485909007184
350,0.019193221587769385
351,0.033074230981764596
352,0.5481893534720943
353,0.02251611714864616
354,0.026155829802910296
355,0.021499355314054152
356,0.03179222692945294
357,0.014455700865721127
358,0.022737152330079204
359,0.015325105912691104
360,0.013416835512985817
361,0.013446306870510223
362,0.004759624240191564
363,0.0034555166697365996
364,0.002696629213483146
365,0.0011935899797384417
366,0.0007220482593479462
367,0.0006704733836802358
368,0.0007736231350156566
369,0.0004715417203904955
370,0.0006262663473936268
371,0.000434702523484988
372,0.000434702523484988
373,0.0003020814146251612
374,0.00020629950267084178
375,0.0003020814146251612
376,0.0002652422177196537
377,0.0003094492540062627
378,0.00041259900534168357
