Fragment length, Fraction of reads
345,0.024193646432348972
346,0.013823204016874764
347,0.03005361506571189
348,0.01990200965314335
349,0.028254288597376387
350,0.030369712958797854
351,0.02803545159447072
352,0.5132092446476116
353,0.019452178036059475
354,0.018297204965168443
355,0.021215031670577363
356,0.016230411048837125
357,0.017640693956451438
358,0.008802110561316913
359,0.01624256866010966
360,0.019999270543323646
361,0.015914313155751158
362,0.014370296524138937
363,0.009835507519482572
364,0.00562897401918471
365,0.003951223663574581
366,0.0047171531737444225
367,0.0030029299843166816
368,0.004364582446840844
369,0.002638201646140566
370,0.0016534351330650555
371,0.0012400763497987916
372,0.0007659295101698419
373,0.0007537718988973047
374,8.51032789077602e-05
375,0.00020667939163313193
376,0.0003404131156310408
377,0.00027962505926835496
378,0.0004863044509014869
379,0.00018236416908805757
380,0.00014589133527044605
381,0.00019452178036059476
382,0.00032825550435850364
383,0.00015804894654298322
384,0.00012157611272537172
385,9.726089018029738e-05
386,0.0003039402818134293
387,7.294566763522303e-05
388,9.726089018029738e-05
389,0.0001702065578155204
390,0.00015804894654298322
391,0.00014589133527044605
392,0.00012157611272537172
393,8.51032789077602e-05
394,6.078805636268586e-05
395,6.078805636268586e-05
396,0.00010941850145283455
397,4.863044509014869e-05
398,0.00010941850145283455
399,0.00020667939163313193
400,0.00010941850145283455
401,2.4315222545074345e-05
402,0.00010941850145283455
403,0.00020667939163313193
404,4.863044509014869e-05
405,8.51032789077602e-05
406,8.51032789077602e-05
407,2.4315222545074345e-05
408,9.726089018029738e-05
409,2.4315222545074345e-05
410,6.078805636268586e-05
411,7.294566763522303e-05
412,4.863044509014869e-05
413,1.2157611272537173e-05
414,6.078805636268586e-05
415,1.2157611272537173e-05
416,2.4315222545074345e-05
417,3.647283381761151e-05
418,3.647283381761151e-05
419,2.4315222545074345e-05
420,2.4315222545074345e-05
421,2.4315222545074345e-05
422,2.4315222545074345e-05
423,1.2157611272537173e-05
424,8.51032789077602e-05
426,1.2157611272537173e-05
427,7.294566763522303e-05
428,2.4315222545074345e-05
429,1.2157611272537173e-05
430,1.2157611272537173e-05
431,4.863044509014869e-05
433,1.2157611272537173e-05
435,2.4315222545074345e-05
436,2.4315222545074345e-05
437,1.2157611272537173e-05
438,3.647283381761151e-05
439,1.2157611272537173e-05
440,2.4315222545074345e-05
441,1.2157611272537173e-05
442,1.2157611272537173e-05
443,2.4315222545074345e-05
444,2.4315222545074345e-05
446,3.647283381761151e-05
447,2.4315222545074345e-05
449,1.2157611272537173e-05
450,1.2157611272537173e-05
451,3.647283381761151e-05
452,2.4315222545074345e-05
454,1.2157611272537173e-05
455,1.2157611272537173e-05
456,4.863044509014869e-05
457,1.2157611272537173e-05
458,3.647283381761151e-05
459,3.647283381761151e-05
460,6.078805636268586e-05
461,2.4315222545074345e-05
462,4.863044509014869e-05
463,1.2157611272537173e-05
464,2.4315222545074345e-05
465,1.2157611272537173e-05
466,2.4315222545074345e-05
468,2.4315222545074345e-05
471,3.647283381761151e-05
473,1.2157611272537173e-05
475,1.2157611272537173e-05
476,4.863044509014869e-05
479,2.4315222545074345e-05
481,1.2157611272537173e-05
482,1.2157611272537173e-05
484,1.2157611272537173e-05
485,1.2157611272537173e-05
486,2.4315222545074345e-05
487,2.4315222545074345e-05
491,1.2157611272537173e-05
493,1.2157611272537173e-05
495,1.2157611272537173e-05
498,1.2157611272537173e-05
501,1.2157611272537173e-05
502,1.2157611272537173e-05
503,2.4315222545074345e-05
504,1.2157611272537173e-05
506,1.2157611272537173e-05
508,1.2157611272537173e-05
509,2.4315222545074345e-05
511,2.4315222545074345e-05
512,1.2157611272537173e-05
517,2.4315222545074345e-05
518,1.2157611272537173e-05
519,2.4315222545074345e-05
520,1.2157611272537173e-05
521,1.2157611272537173e-05
525,1.2157611272537173e-05
526,1.2157611272537173e-05
527,6.078805636268586e-05
528,2.4315222545074345e-05
530,1.2157611272537173e-05
531,1.2157611272537173e-05
532,2.4315222545074345e-05
534,1.2157611272537173e-05
537,2.4315222545074345e-05
544,1.2157611272537173e-05
545,4.863044509014869e-05
548,1.2157611272537173e-05
550,1.2157611272537173e-05
551,1.2157611272537173e-05
552,2.4315222545074345e-05
553,1.2157611272537173e-05
554,2.4315222545074345e-05
555,1.2157611272537173e-05
556,2.4315222545074345e-05
557,1.2157611272537173e-05
558,1.2157611272537173e-05
562,1.2157611272537173e-05
565,2.4315222545074345e-05
571,1.2157611272537173e-05
581,1.2157611272537173e-05
586,1.2157611272537173e-05
598,2.4315222545074345e-05
603,1.2157611272537173e-05
608,1.2157611272537173e-05
626,1.2157611272537173e-05
674,1.2157611272537173e-05
679,1.2157611272537173e-05
682,1.2157611272537173e-05
697,1.2157611272537173e-05
700,1.2157611272537173e-05
702,1.2157611272537173e-05
703,4.863044509014869e-05
704,0.002759777758865938
