Compared Sample,704* - S1,704* - S2,704* - S3,AT* - S1,AT* - S2,AT* - S3,GC* - S1,GC* - S2,GC* - S3,400* - S1,400* - S2,400* - S3,1500* - S1,1500* - S2,1500* - S3,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
ATMi1 - S3,0.0,0.0,3.448065838052082e-59,0.0,0.0,0.0,9.883419341006445e-179,9.52279288344412e-89,3.902144787743735e-111,0.0,0.0,0.0,2.1980014524036695e-101,1.407903953e-314,0.0,3.370140584755515e-86,1.2226997727726476e-14,1.751569879440454e-05,2.169934209681616e-45,2.129621972861062e-27,1.0,0.04246387043677687,0.5503757607416837,0.21720154748726592,1.4673959671735922e-43,3.428920541248552e-27,4.2856232405084446e-05,0.0008934672902752675,0.2088207512182037,0.0004889883812293511
ATMi2 - S1,5.427712988501961e-141,9.79567220864748e-253,1.4542449693623702e-31,6.706927939424411e-256,8.913539072067628e-211,7.091432291142409e-255,7.009761577735916e-50,6.735911407840535e-19,1.8391245457506307e-27,3.1886303088922038e-114,2.727739957276832e-144,1.1969923797590274e-208,6.700178536638653e-89,1.1268483576732196e-231,0.0,2.4300185270043524e-38,5.590440793373059e-06,2.9604368881684198e-05,7.023229325981032e-20,5.41962152352821e-16,0.04246387043677687,1.0,0.24432273510847247,0.00792144317384746,1.2898943760075219e-17,9.959376817656891e-13,0.6468770653687553,6.451078993099756e-05,0.012550661784015543,2.562073752756173e-05
ATMi2 - S2,2.0120631034458453e-174,7.802986767844382e-306,4.831270421360927e-39,4.7974253e-317,5.243458537728886e-261,6.947754425e-315,1.891979826088248e-65,1.109921698501191e-27,2.5217871265199385e-38,3.0862813092715474e-143,6.092253987835141e-174,3.926629867794437e-255,1.4674646092484693e-93,8.05289786655239e-251,0.0,6.820075761838194e-35,1.171458517329285e-08,0.002128630425534761,2.7146908368452747e-16,8.556474743788914e-13,0.5503757607416837,0.24432273510847247,1.0,0.1717339929516139,5.0484483870103636e-24,3.148645050446983e-17,0.04486997554251547,0.005498756032979952,0.14341237722108188,0.0031602550506330206
ATMi2 - S3,1.742e-319,0.0,1.486521823942834e-57,0.0,0.0,0.0,5.220682207228609e-130,8.039963728205014e-63,3.276541988222179e-81,2.4584684679969644e-269,2.420931202706485e-292,0.0,3.2101326624396596e-104,4.703299867732049e-307,0.0,1.0765707267376168e-48,6.631101554458277e-15,0.0176998150021491,9.915058465470119e-21,1.6940936349600024e-14,0.21720154748726592,0.00792144317384746,0.1717339929516139,1.0,4.1056739753363443e-41,1.873687233839469e-27,6.149400402295343e-06,0.07299932863472255,0.6419057612502548,0.05162570758806498
ATMi3 - S1,2.3600578367257464e-61,4.211085893838306e-148,7.438195761718127e-06,5.628830640470405e-152,8.13059502173411e-117,6.133406661974815e-152,7.029657807558292e-10,0.31866236528294056,0.1793128617301428,1.6039746174653124e-43,5.241318146536366e-71,4.630177868582955e-114,4.949218065416886e-62,2.0912277758910417e-163,1.893896694489201e-305,1.145563052735176e-134,0.009895509856752447,8.83329866673516e-49,1.1366332447117783e-104,1.0932947220844494e-84,1.4673959671735922e-43,1.2898943760075219e-17,5.0484483870103636e-24,4.1056739753363443e-41,1.0,0.5630501729116377,5.9264398773754964e-27,6.009193312735591e-50,1.1074153693790887e-26,2.397158245252109e-53
ATMi3 - S2,3.7018657557483884e-49,1.425340467534389e-113,4.076208349342902e-06,2.104679029555019e-110,8.781244975846581e-87,6.6092868217871276e-111,6.34972996205321e-09,0.8501059523275372,0.07821763021641781,2.916323421875629e-35,5.028689254326094e-58,2.110645756027057e-87,5.1297183324028325e-62,4.226969479748037e-152,1.2835820079345275e-259,8.949346462478168e-90,0.06567800998388185,1.4189616853274315e-31,1.5211145806041637e-66,5.165876804032388e-56,3.428920541248552e-27,9.959376817656891e-13,3.148645050446983e-17,1.873687233839469e-27,0.5630501729116377,1.0,3.569498988347824e-17,9.563674918207185e-34,2.427174714416616e-20,2.2929651619529638e-36
ATMi3 - S3,4.413288403763037e-301,0.0,3.4158177929855225e-44,0.0,0.0,0.0,6.784651044776258e-110,1.5969742550388317e-42,3.565310016063555e-60,2.6220256611324203e-249,1.3221257569063498e-275,0.0,7.733819015897461e-99,1.6562986500515764e-295,0.0,2.0720735866905796e-98,5.7148864293273426e-08,3.9554404125574466e-13,8.654053870032148e-59,2.7339888671737893e-40,4.2856232405084446e-05,0.6468770653687553,0.04486997554251547,6.149400402295343e-06,5.9264398773754964e-27,3.569498988347824e-17,1.0,1.193370444736961e-10,0.0004859209839267001,2.598782832565175e-11
ATMi4 - S1,0.0,0.0,2.695928324777916e-66,0.0,0.0,0.0,4.265557569069731e-147,2.139146174632211e-76,5.805005542121168e-96,7.030302688452202e-295,5.07671364e-316,0.0,2.5214954344951448e-110,0.0,0.0,7.882399281912507e-37,3.587062345904058e-19,0.5771685397680872,1.346912381860676e-12,9.613592838689815e-09,0.0008934672902752675,6.451078993099756e-05,0.005498756032979952,0.07299932863472255,6.009193312735591e-50,9.563674918207185e-34,1.193370444736961e-10,1.0,0.4391243718049065,0.9047856202112907
ATMi4 - S2,9.510110643040047e-152,1.0537018658849638e-255,5.158298303253501e-42,5.466214073721617e-251,2.8884033921577676e-211,1.795828944272283e-250,1.0284744244298984e-59,8.541458061105141e-28,3.6038822779257664e-37,3.083179477431047e-125,6.799746406905852e-155,4.222574258146177e-213,1.1707350812933634e-102,1.9845204253027093e-254,0.0,3.468726907811108e-19,9.50907565249235e-11,0.2800804592349033,2.6473509077454387e-07,6.45125047269847e-06,0.2088207512182037,0.012550661784015543,0.14341237722108188,0.6419057612502548,1.1074153693790887e-26,2.427174714416616e-20,0.0004859209839267001,0.4391243718049065,1.0,0.37657581267128093
ATMi4 - S3,0.0,0.0,2.2466456899778674e-71,0.0,0.0,0.0,2.2669610130427845e-152,9.127395908648594e-79,2.3891796177824536e-99,7.730888763941336e-306,0.0,0.0,1.2998224182477515e-120,0.0,0.0,5.920947511104702e-37,1.412061260160162e-20,0.6567792823015428,2.9078257755139354e-12,1.3065454216119539e-08,0.0004889883812293511,2.562073752756173e-05,0.0031602550506330206,0.05162570758806498,2.397158245252109e-53,2.2929651619529638e-36,2.598782832565175e-11,0.9047856202112907,0.37657581267128093,1.0
