Compared Sample,704* - S1,704* - S2,704* - S3,AT* - S1,AT* - S2,AT* - S3,GC* - S1,GC* - S2,GC* - S3,400* - S1,400* - S2,400* - S3,1500* - S1,1500* - S2,1500* - S3,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
ATMi1 - S3,0.07839472333512122,0.001752256730900259,0.4432315900173637,1.8286286226518904e-286,2.0610558576053022e-239,2.6765332278027556e-220,1.296980845859261e-87,9.145571742007943e-239,2.542847951217393e-137,6.992425091521369e-46,4.1885720131978606e-32,6.369512137630394e-81,6.359136017449096e-07,4.1553414441801983e-19,6.311451626632914e-16,0.0,0.0022348142258820677,1.2685731489384567e-24,9.765418258865936e-27,0.3085424743072072,1.0,3.1617681233349275e-32,2.7761125896101544e-19,0.006060694018668435,0.00010251780327979528,4.012366696104171e-14,5.019007660400529e-148,1.4074120931119344e-29,0.23444855499073416,0.0006557529568866883
ATMi2 - S1,4.319103776924491e-30,3.091452912967026e-34,1.2519082026832604e-11,6.4662202715743896e-223,3.1837017063186986e-211,2.928665990698772e-194,0.0058259989482371795,5.541965512088735e-15,7.87523206166999e-06,1.1137315404409167e-86,7.951001128442981e-72,7.998065631628094e-117,1.203389093319427e-12,1.0591390820047687e-36,7.893591971011965e-42,7.791268426034439e-267,3.265276211592634e-07,4.349155560231594e-66,1.3925488338189595e-66,3.962049422110801e-33,3.1617681233349275e-32,1.0,0.005420580578952578,2.6819916830831893e-36,1.2601758729208085e-09,0.05788836358481726,4.878539273393369e-151,5.379380010924957e-71,8.840961705244097e-15,9.796570200706943e-39
ATMi2 - S2,8.622967072741737e-19,2.175817992774886e-22,2.495188526804196e-06,1.4525738808799045e-206,5.877229750530336e-194,9.480312470872631e-177,6.571334197659222e-10,7.169661036395881e-33,2.349641008735166e-16,7.923916811558882e-70,3.4979175546761453e-57,5.303568823902413e-99,9.395005320868414e-11,8.841071979978245e-31,1.0618165380225106e-32,3.728451040688519e-253,0.0034189697725412684,8.606377028935257e-50,1.1358119292387462e-49,2.4401121991360945e-20,2.7761125896101544e-19,0.005420580578952578,1.0,1.9948080944754155e-23,0.00038754405339204353,0.6127238690687717,8.495423542135798e-133,1.241744777181754e-54,6.964893984887712e-08,1.792585803292255e-25
ATMi2 - S3,0.6051624597078967,0.44629685179542034,0.04210534626462845,1.379622288228321e-162,5.8866133386494435e-145,9.550104387184684e-127,3.1406865108357472e-84,5.2136540836107055e-192,2.8732832854218357e-121,8.73499366755377e-25,3.2169978268725544e-20,1.059513063893101e-48,3.8637697707211965e-06,3.352400687028133e-16,1.5062935056721192e-11,1.3438658211004064e-224,2.059666541776008e-05,2.383133606162142e-09,2.883007429848439e-07,0.08505509019117118,0.006060694018668435,2.6819916830831893e-36,1.9948080944754155e-23,1.0,1.3374690261972573e-07,9.830934733264843e-18,1.5374819795439452e-79,4.733773198225393e-13,0.006707968298887077,0.5929582262881408
ATMi3 - S1,5.585876377658518e-06,4.9152236033152577e-08,0.07476552476498649,3.0165356005316657e-133,1.5949367864486717e-126,5.543441242279162e-112,1.410755253902739e-22,6.990275611711862e-54,2.2108429918179257e-32,1.2239667905777445e-37,6.301005741095426e-33,6.2881316413645225e-59,1.7323629557607058e-08,4.920057065941152e-23,1.855792246410345e-20,1.3835135876804314e-166,0.9631273013188207,3.8918689482168155e-22,3.730830552732877e-20,1.5058752507925852e-05,0.00010251780327979528,1.2601758729208085e-09,0.00038754405339204353,1.3374690261972573e-07,1.0,0.00041158779048377803,7.664801047260525e-79,4.937684743412943e-26,0.055344071769476165,1.3166807681859803e-08
ATMi3 - S2,4.9773744076380446e-15,8.652691238253305e-18,3.315150738238746e-06,1.0082470635460572e-135,3.617851768088166e-131,4.177763968315522e-118,6.506898483880229e-06,7.16676787751113e-19,1.7326445571773733e-09,8.874401425734322e-51,1.3171887416003757e-45,1.5656159567468764e-71,5.909398530112278e-11,4.535084576409152e-30,6.530725804909201e-30,2.370837455385906e-162,0.0023411988917898213,5.881337490008995e-35,4.661591422136921e-33,3.757917300222518e-15,4.012366696104171e-14,0.05788836358481726,0.6127238690687717,9.830934733264843e-18,0.00041158779048377803,1.0,6.424011359149088e-89,5.511234288493451e-39,2.638507597719535e-07,4.211184432381964e-19
ATMi3 - S3,9.834649330456642e-66,5.493144062071764e-53,3.967100850273539e-34,2.1134222189720073e-18,4.954201862379338e-17,4.525849562137017e-09,1.0906683041324196e-306,0.0,0.0,2.4030189962070204e-10,0.00017734739633734706,0.18780884138645268,0.05105069667797275,0.002476625182069966,0.11402523891230261,4.660952515645983e-39,5.977771815751728e-50,1.013028197057792e-43,5.178705981392509e-78,1.232001450395127e-115,5.019007660400529e-148,4.878539273393369e-151,8.495423542135798e-133,1.5374819795439452e-79,7.664801047260525e-79,6.424011359149088e-89,1.0,3.4914470203416914e-29,1.8388266521782718e-53,3.0856833801813385e-76
ATMi4 - S1,3.565030693440145e-12,3.5971667901453354e-08,1.194388872761597e-09,2.7966692289447886e-84,7.282862606262842e-76,8.075780656763841e-61,1.9193187626422835e-149,1.3846054421700871e-303,7.028132120113447e-206,0.00025979498183055575,6.638458897451013e-05,2.4867960033903295e-16,0.00040515553801834004,1.2591178210174064e-09,0.0007496157678109608,1.8947057840624555e-126,2.5362184171321247e-17,0.0853463033464267,0.0001148056103527733,4.494813424430889e-22,1.4074120931119344e-29,5.379380010924957e-71,1.241744777181754e-54,4.733773198225393e-13,4.937684743412943e-26,5.511234288493451e-39,3.4914470203416914e-29,1.0,1.2632216970680328e-14,1.4478801399484793e-11
ATMi4 - S2,0.02951288420893923,0.002042715628290866,0.8878327209792202,3.772762826054194e-96,3.40960760581885e-92,8.258402742881093e-80,1.82970000986106e-30,5.123695707068704e-64,2.1109101085041803e-41,1.3248346932073226e-23,7.168473884500858e-22,4.008675236766327e-40,2.7425217194251394e-07,5.8461640959781e-19,1.2642018981494438e-14,9.483248327198559e-122,0.09158742205103987,1.1916734121357732e-11,1.0430370106516097e-09,0.08991231265554969,0.23444855499073416,8.840961705244097e-15,6.964893984887712e-08,0.006707968298887077,0.055344071769476165,2.638507597719535e-07,1.8388266521782718e-53,1.2632216970680328e-14,1.0,0.0020083390809166836
ATMi4 - S3,0.31970365413209667,0.7616676375240514,0.019534679424350266,1.1914827562119756e-158,3.3551911702565793e-141,4.880536945954215e-123,1.820795625067958e-89,9.701744951540512e-203,1.3440193873013534e-128,6.492258508265885e-23,7.775674593380779e-19,3.0150841309201962e-46,5.619754924864747e-06,1.127121761461837e-15,7.493453794194758e-11,1.522448913414025e-220,4.673206980963757e-06,4.991118939834586e-08,6.055516714366584e-06,0.02005420192662317,0.0006557529568866883,9.796570200706943e-39,1.792585803292255e-25,0.5929582262881408,1.3166807681859803e-08,4.211184432381964e-19,3.0856833801813385e-76,1.4478801399484793e-11,0.0020083390809166836,1.0
